seed_fraction,sentiment,tweet_quality,total_retweets,is_viral,virality_class
0.01,-0.5,0.3,43,True,2
0.01,-0.5,0.5,89,True,2
0.01,-0.5,0.7,176,True,2
0.01,0.0,0.3,84,True,2
0.01,0.0,0.5,69,True,2
0.01,0.0,0.7,186,True,2
0.01,0.5,0.3,79,True,2
0.01,0.5,0.5,137,True,2
0.01,0.5,0.7,170,True,2
0.02,-0.5,0.3,24,True,2
0.02,-0.5,0.5,5,False,0
0.02,-0.5,0.7,230,True,2
0.02,0.0,0.3,0,False,0
0.02,0.0,0.5,87,True,2
0.02,0.0,0.7,222,True,2
0.02,0.5,0.3,26,True,2
0.02,0.5,0.5,170,True,2
0.02,0.5,0.7,127,True,2
0.05,-0.5,0.3,59,True,2
0.05,-0.5,0.5,13,False,1
0.05,-0.5,0.7,254,True,2
0.05,0.0,0.3,24,True,2
0.05,0.0,0.5,158,True,2
0.05,0.0,0.7,177,True,2
0.05,0.5,0.3,10,False,1
0.05,0.5,0.5,25,True,2
0.05,0.5,0.7,226,True,2
