user_id,follower_count,influence_score
0,6335,48
1,7168,45
2,7009,48
3,7995,43
4,1046,40
5,6322,41
6,7104,33
7,4677,45
8,8330,39
9,12377,42
10,19093,43
11,5985,32
12,11043,45
13,20600,43
14,5561,37
15,5610,40
16,6265,56
17,3336,47
18,4281,40
19,7762,39
20,2384,48
21,8074,21
22,5019,42
23,10353,39
24,7959,37
25,3463,43
26,6638,47
27,5509,47
28,7315,40
29,3484,42
30,7231,44
31,15682,46
32,4858,35
33,4956,35
34,5542,41
35,4352,35
36,4695,36
37,5515,42
38,12114,32
39,15825,42
40,12596,40
41,5936,33
42,11532,36
43,3498,50
44,2849,36
45,6544,39
46,3759,46
47,4663,35
48,6046,43
49,5214,36
50,8328,41
51,4009,37
52,7202,41
53,5011,40
54,6402,28
55,4739,37
56,6170,44
57,19814,46
58,8617,41
59,7720,38
60,10224,47
61,6239,36
62,7714,35
63,12748,37
64,6931,36
65,4462,38
66,12156,52
67,6627,43
68,7673,49
69,7693,29
70,5660,47
71,5579,37
72,7751,33
73,2785,43
74,5059,45
75,3189,34
76,8150,45
77,8803,31
78,4681,33
79,3217,51
80,11042,36
81,6523,37
82,6321,36
83,2603,46
84,7001,46
85,6187,47
86,5307,33
87,4271,33
88,5087,37
89,7472,55
90,6249,41
91,5035,35
92,4472,45
93,5098,48
94,7832,41
95,1802,54
96,3316,38
97,7160,37
98,5081,33
99,6921,43
100,6269,50
101,6582,40
102,9596,37
103,1980,26
104,4066,52
105,3519,48
106,5736,44
107,5293,43
108,12647,45
109,7511,35
110,5367,46
111,11430,38
112,2757,33
113,2942,34
114,13118,29
115,10343,41
116,6038,39
117,6357,29
118,8427,42
119,9670,47
120,9455,38
121,12048,45
122,2673,43
123,13091,35
124,6736,29
125,10316,38
126,4532,50
127,3730,29
128,3465,40
129,10344,53
130,2254,47
131,5828,39
132,3445,36
133,10335,46
134,9620,25
135,2557,49
136,5063,43
137,5925,45
138,4001,48
139,5439,52
140,2815,33
141,4716,38
142,4500,48
143,4332,39
144,6566,38
145,3271,29
146,13748,41
147,6764,27
148,2057,36
149,8321,30
150,4571,31
151,9485,28
152,1980,28
153,3567,33
154,12061,55
155,11989,58
156,5116,32
157,2336,56
158,17647,32
159,5623,28
160,6579,38
161,2294,31
162,5863,36
163,7431,39
164,6404,54
165,3177,28
166,4648,38
167,3856,50
168,8793,42
169,11435,25
170,7380,39
171,6896,48
172,5715,43
173,2347,42
174,5077,40
175,5394,31
176,9306,39
177,5847,51
178,21976,43
179,10205,42
180,2433,34
181,4709,45
182,5133,35
183,2661,49
184,3486,38
185,3469,44
186,7450,48
187,4542,31
188,5734,37
189,14803,35
190,4759,48
191,5516,34
192,10028,31
193,10926,29
194,8574,46
195,3938,40
196,6373,43
197,4933,46
198,10895,41
199,6268,37
200,7535,48
201,7354,37
202,4276,49
203,7283,48
204,11362,52
205,16293,48
206,6520,56
207,4837,41
208,9413,41
209,7196,36
210,8479,31
211,5720,47
212,3882,36
213,4535,37
214,2570,40
215,9868,36
216,8805,34
217,6747,53
218,7346,45
219,2255,38
220,3453,43
221,5709,34
222,3585,41
223,5208,42
224,8322,35
225,5478,36
226,4397,40
227,6318,42
228,6291,43
229,9703,30
230,4123,37
231,2496,29
232,2698,42
233,9377,37
234,4082,43
235,7124,43
236,3866,43
237,3404,26
238,10926,58
239,5574,39
240,3619,40
241,8757,39
242,11214,28
243,11484,35
244,8944,34
245,4528,37
246,6632,60
247,6503,43
248,6632,49
249,4635,36
250,8669,30
251,4992,45
252,4662,42
253,8285,51
254,5049,36
255,6200,31
256,12228,39
257,2299,38
