weekday,hour,retweetcount,is_viral,reach,likes,time_step
Friday,0,20,0,663.1,0,0
Friday,1,4,0,1219.8461538461538,0,1
Friday,2,8,0,370.75,0,2
Friday,3,47,1,4168.4375,0,3
Friday,4,89,1,700.6363636363636,0,4
Friday,5,171,1,675.55,0,5
Friday,6,36,1,1851.4615384615386,0,6
Friday,7,147,2,1050.05,0,7
Friday,8,97,2,984.3157894736842,0,8
Friday,9,28,0,6918.96,0,9
Friday,10,49,1,1813.95,0,10
Friday,11,101,1,1944.2222222222222,0,11
Friday,12,22,0,11395.333333333334,0,12
Friday,13,18,0,2086.875,0,13
Friday,14,24,0,1252.3529411764705,0,14
Friday,15,18,0,8223.823529411764,0,15
Friday,16,18,0,919.0833333333334,0,16
Friday,17,5,0,1779.5,0,17
Friday,18,0,0,1539.4444444444443,0,18
Friday,19,9,0,403.2857142857143,0,19
Friday,20,15,0,1252.6875,0,20
Friday,21,19,0,731.5454545454545,0,21
Friday,22,1,0,451.0,0,22
Friday,23,414,1,413.1333333333333,0,23
Monday,0,2,0,716.8571428571429,0,24
Monday,1,36,1,917.8947368421053,0,25
Monday,2,172,3,469.875,0,26
Monday,3,50,1,1175.95,0,27
Monday,4,90,2,1045.6470588235295,0,28
Monday,5,169,2,502.3333333333333,0,29
Monday,6,91,1,2387.375,0,30
Monday,7,147,3,1493.0588235294117,0,31
Monday,8,193,3,3943.0,0,32
Monday,9,139,2,7163.78431372549,0,33
Monday,10,253,5,10072.948717948719,0,34
Monday,11,173,4,14576.975,0,35
Monday,12,255,4,13083.591836734693,0,36
Monday,13,140,2,3588.2820512820513,0,37
Monday,14,123,2,7869.454545454545,0,38
Monday,15,61,1,16723.314285714285,26,39
Monday,16,489,5,8259.90909090909,72,40
Monday,17,148,5,11529.434782608696,0,41
Monday,18,108,3,2151.3636363636365,0,42
Monday,19,122,3,19671.125,32,43
Monday,20,109,2,2131.090909090909,0,44
Monday,21,232,3,2873.923076923077,0,45
Monday,22,192,5,1421.75,0,46
Monday,23,6,0,757.7777777777778,0,47
Saturday,0,7,0,761.6666666666666,0,48
Saturday,1,100,1,581.0,0,49
Saturday,2,0,0,356.4,0,50
Saturday,3,11,0,1757.5,0,51
Saturday,4,2,0,1273.5,0,52
Saturday,5,1,0,4559.0,0,53
Saturday,6,113,1,948.3076923076923,0,54
Saturday,7,58,1,8672.066666666668,0,55
Saturday,8,21,0,9617.277777777777,0,56
Saturday,9,164,1,770.6470588235294,0,57
Saturday,10,40,0,805.0625,0,58
Saturday,11,170,5,1014.2608695652174,0,59
Saturday,12,183,3,20733.166666666668,131,60
Saturday,13,38,1,1777.6666666666667,0,61
Saturday,14,28,1,1819.4444444444443,0,62
Saturday,15,65,1,7072.347826086957,0,63
Saturday,16,185,4,20582.56,40,64
Saturday,17,175,3,3857.6190476190477,4,65
Saturday,18,93,1,486.4117647058824,0,66
Saturday,19,86,2,2172.625,0,67
Saturday,20,60,2,117.0,0,68
Saturday,21,139,3,851.625,0,69
Saturday,22,65,2,818.5,0,70
Saturday,23,52,1,263.4166666666667,0,71
Sunday,0,73,3,828.8333333333334,0,72
Sunday,1,82,2,471.1111111111111,0,73
Sunday,2,9,0,746.3333333333334,0,74
Sunday,3,83,2,524.0,0,75
Sunday,4,138,3,1383.8,0,76
Sunday,5,69,2,1075.7272727272727,0,77
Sunday,6,5,0,8982.285714285714,0,78
Sunday,7,69,1,3417.409090909091,0,79
