locationid,klout,reach,retweetcount,likes,sentiment,isreshare,influence,susceptibility,followers
2,22.0,87.0,0.0,0.0,0.0,0.0,0.22,0.3,9
13,50.0,5545.0,0.0,0.0,0.0,0.0,0.5,0.3,554
14,40.705882352941174,836.1176470588235,32.64705882352941,0.0,0.0,0.7647058823529411,0.40705882352941175,0.6058823529411765,84
18,23.0,84.0,0.0,0.0,0.0,0.0,0.23,0.3,8
27,52.0,760.0,10.0,0.0,0.0,1.0,0.52,0.7,76
30,50.0,2164.0,1.0,0.0,0.0,1.0,0.5,0.7,216
78,37.142857142857146,1695.4285714285713,3.4285714285714284,0.0,-0.16666666737624572,0.35714285714285715,0.37142857142857144,0.44285714285714284,170
79,39.07142857142857,270.2142857142857,0.07142857142857142,0.0,0.8214285714285714,0.07142857142857142,0.3907142857142857,0.32857142857142857,27
80,37.72222222222222,2269.0555555555557,7.055555555555555,0.0,0.16666666666666666,0.2962962962962963,0.37722222222222224,0.4185185185185185,227
81,40.724137931034484,5268.482758620689,4.896551724137931,0.0,0.4482758620689655,0.3448275862068966,0.4072413793103448,0.4379310344827586,527
82,40.55555555555556,2369.777777777778,15.777777777777779,0.0,0.5,0.4444444444444444,0.40555555555555556,0.47777777777777775,237
83,48.25,857.0,1.0,0.0,0.0,0.5,0.4825,0.5,86
84,54.0,1229.0,1.0,0.0,0.0,0.0,0.54,0.3,123
85,18.5,96.25,0.75,0.0,0.25,0.25,0.185,0.4,10
86,40.666666666666664,221.0,74.33333333333333,0.0,0.0,1.0,0.4066666666666666,0.7,22
87,38.0,4767.0,0.0,0.0,0.0,0.0,0.38,0.3,477
105,57.0,11078.0,31.0,0.0,-4.0,1.0,0.57,0.7,1108
112,47.0,797.0,3.0,0.0,0.0,1.0,0.47,0.7,80
158,48.0,850.0,4.0,0.0,0.0,1.0,0.48,0.7,85
183,34.166666666666664,597.1666666666666,16.833333333333332,0.0,0.6666666666666666,0.5,0.3416666666666666,0.5,60
184,29.0,120.0,1.0,0.0,2.0,1.0,0.29,0.7,12
185,40.0,88.0,1.0,0.0,0.0,1.0,0.4,0.7,9
188,29.0,62.0,2.5,0.0,1.0,1.0,0.29,0.7,6
197,43.0,137.0,6.0,0.0,0.0,1.0,0.43,0.7,14
199,31.75,2140.875,0.25,0.0,0.5,0.125,0.3175,0.35,214
209,30.5,107.5,19.5,0.0,0.75,0.5,0.305,0.5,11
210,52.0,3416.0,0.0,0.0,0.0,0.0,0.52,0.3,342
211,50.4,2883.0,4.4,0.0,1.0,1.0,0.504,0.7,288
212,56.0,9391.666666666666,0.0,0.0,0.3333333333333333,0.0,0.56,0.3,939
213,57.0,1300.0,0.0,0.0,-0.6666666666666666,0.0,0.57,0.3,130
215,47.0,321.0,23.0,0.0,0.0,1.0,0.47,0.7,32
226,0.0,537.0,0.25,0.0,0.0,0.25,0.0,0.4,54
245,47.0,573.0,1.0,0.0,1.0,1.0,0.47,0.7,57
254,45.0,989.0,3.0,0.0,0.0,0.0,0.45,0.3,99
266,31.0,218.0,0.0,0.0,0.0,0.0,0.31,0.3,22
280,17.0,33.0,0.0,0.0,0.0,0.0,0.17,0.3,3
287,20.4,8.6,0.0,0.0,0.0,0.0,0.204,0.3,1
288,39.0,460.0,0.0,0.0,-1.5,0.0,0.39,0.3,46
289,33.75,265.09375,6.75,0.0,0.515625,0.9375,0.3375,0.675,27
290,28.0,189.33333333333334,44.0,0.0,0.0,1.0,0.28,0.7,19
291,0.0,434.0,0.0,0.0,-1.0,0.0,0.0,0.3,43
292,25.857142857142858,239.28571428571428,18.714285714285715,0.0,-1.0,0.5714285714285714,0.25857142857142856,0.5285714285714286,24
294,48.0,270.6666666666667,0.0,0.0,0.0,0.0,0.48,0.3,27
297,22.0,15.0,5.0,0.0,0.0,1.0,0.22,0.7,2
298,52.5,3790.0,0.5,0.0,0.0,0.0,0.525,0.3,379
314,24.0,202.0,34.5,0.0,1.0,1.0,0.24,0.7,20
325,20.0,78.0,0.0,0.0,0.0,0.0,0.2,0.3,8
343,39.0,1030.0,4.0,0.0,2.0,1.0,0.39,0.7,103
375,28.0,279.0,0.0,0.0,0.0,0.0,0.28,0.3,28
385,38.0,360.0,25.0,0.0,0.0,1.0,0.38,0.7,36
451,36.0,205.0,0.0,0.0,0.0,0.0,0.36,0.3,20
459,45.0,2454.0,1.0,0.0,0.0,1.0,0.45,0.7,245
461,63.0,3048.0,0.0,0.0,-4.0,0.0,0.63,0.3,305
463,29.25,2061.875,4.0,0.0,0.25,0.375,0.2925,0.45,206
464,42.25,332.25,0.0,0.0,0.75,0.0,0.4225,0.3,33
465,37.25,322.5,0.25,0.0,0.25,0.0,0.3725,0.3,32
466,43.0,755.0,0.5,0.0,0.0,0.5,0.43,0.5,76
467,17.0,29.0,34.0,0.0,0.0,1.0,0.17,0.7,3
468,45.0,1234.0,0.0,0.0,0.5,0.0,0.45,0.3,123
470,47.0,1261.0,0.0,0.0,0.0,0.0,0.47,0.3,126
471,38.666666666666664,327.3333333333333,0.6666666666666666,0.0,2.1666666666666665,0.6666666666666666,0.38666666666666666,0.5666666666666667,33
472,45.0,1022.0,2.0,0.0,0.0,1.0,0.45,0.7,102
